location,date,vaccine,total_vaccinations
Bulgaria,26/02/2021,Pfizer/BioNTech,104340
Bulgaria,05/03/2021,Moderna,14820
Bulgaria,05/03/2021,Oxford/AstraZeneca,143932
Bulgaria,05/03/2021,Pfizer/BioNTech,129880
Bulgaria,12/03/2021,Moderna,16988
Bulgaria,12/03/2021,Oxford/AstraZeneca,174209
Bulgaria,12/03/2021,Pfizer/BioNTech,147683
Bulgaria,19/03/2021,Moderna,20921
Bulgaria,19/03/2021,Oxford/AstraZeneca,179029
Bulgaria,19/03/2021,Pfizer/BioNTech,168956
Bulgaria,26/03/2021,Moderna,34004
Bulgaria,26/03/2021,Oxford/AstraZeneca,206835
Bulgaria,26/03/2021,Pfizer/BioNTech,195704
Bulgaria,02/04/2021,Moderna,44809
Bulgaria,02/04/2021,Oxford/AstraZeneca,230180
Bulgaria,02/04/2021,Pfizer/BioNTech,228583
Bulgaria,09/04/2021,Moderna,59160
Bulgaria,09/04/2021,Oxford/AstraZeneca,238387
Bulgaria,09/04/2021,Pfizer/BioNTech,275118
Bulgaria,16/04/2021,Johnson&Johnson,0
Bulgaria,16/04/2021,Moderna,74318
Bulgaria,16/04/2021,Oxford/AstraZeneca,241707
Bulgaria,16/04/2021,Pfizer/BioNTech,322422
Bulgaria,23/04/2021,Johnson&Johnson,0
Bulgaria,23/04/2021,Moderna,93241
Bulgaria,23/04/2021,Oxford/AstraZeneca,247383
Bulgaria,23/04/2021,Pfizer/BioNTech,382650
Bulgaria,30/04/2021,Johnson&Johnson,0
Bulgaria,30/04/2021,Moderna,108865
Bulgaria,30/04/2021,Oxford/AstraZeneca,263756
Bulgaria,30/04/2021,Pfizer/BioNTech,452036
Bulgaria,07/05/2021,Johnson&Johnson,0
Bulgaria,07/05/2021,Moderna,122688
Bulgaria,07/05/2021,Oxford/AstraZeneca,300451
Bulgaria,07/05/2021,Pfizer/BioNTech,514960
Bulgaria,14/05/2021,Johnson&Johnson,398
Bulgaria,14/05/2021,Moderna,145571
Bulgaria,14/05/2021,Oxford/AstraZeneca,364379
Bulgaria,14/05/2021,Pfizer/BioNTech,606439
Bulgaria,21/05/2021,Johnson&Johnson,2629
Bulgaria,21/05/2021,Moderna,165767
Bulgaria,21/05/2021,Oxford/AstraZeneca,401422
Bulgaria,21/05/2021,Pfizer/BioNTech,690983
Bulgaria,28/05/2021,Johnson&Johnson,6276
Bulgaria,28/05/2021,Moderna,181502
Bulgaria,28/05/2021,Oxford/AstraZeneca,411232
Bulgaria,28/05/2021,Pfizer/BioNTech,754371
Bulgaria,04/06/2021,Johnson&Johnson,11142
Bulgaria,04/06/2021,Moderna,190457
Bulgaria,04/06/2021,Oxford/AstraZeneca,435357
Bulgaria,04/06/2021,Pfizer/BioNTech,827459
Bulgaria,11/06/2021,Johnson&Johnson,17987
Bulgaria,11/06/2021,Moderna,202784
Bulgaria,11/06/2021,Oxford/AstraZeneca,457900
Bulgaria,11/06/2021,Pfizer/BioNTech,898271
Bulgaria,18/06/2021,Johnson&Johnson,25928
Bulgaria,18/06/2021,Moderna,216421
Bulgaria,18/06/2021,Oxford/AstraZeneca,467870
Bulgaria,18/06/2021,Pfizer/BioNTech,949706
Bulgaria,25/06/2021,Johnson&Johnson,33099
Bulgaria,25/06/2021,Moderna,225728
Bulgaria,25/06/2021,Oxford/AstraZeneca,470990
Bulgaria,25/06/2021,Pfizer/BioNTech,997114
Bulgaria,02/07/2021,Johnson&Johnson,39994
Bulgaria,02/07/2021,Moderna,234047
Bulgaria,02/07/2021,Oxford/AstraZeneca,472860
Bulgaria,02/07/2021,Pfizer/BioNTech,1042927
Bulgaria,09/07/2021,Johnson&Johnson,48424
Bulgaria,09/07/2021,Moderna,241862
Bulgaria,09/07/2021,Oxford/AstraZeneca,474021
Bulgaria,09/07/2021,Pfizer/BioNTech,1086383
Bulgaria,16/07/2021,Johnson&Johnson,58430
Bulgaria,16/07/2021,Moderna,247955
Bulgaria,16/07/2021,Oxford/AstraZeneca,474812
Bulgaria,16/07/2021,Pfizer/BioNTech,1127926
Bulgaria,23/07/2021,Johnson&Johnson,68108
Bulgaria,23/07/2021,Moderna,252761
Bulgaria,23/07/2021,Oxford/AstraZeneca,475720
Bulgaria,23/07/2021,Pfizer/BioNTech,1167720
Bulgaria,30/07/2021,Johnson&Johnson,78440
Bulgaria,30/07/2021,Moderna,258066
Bulgaria,30/07/2021,Oxford/AstraZeneca,476371
Bulgaria,30/07/2021,Pfizer/BioNTech,1212406
Bulgaria,06/08/2021,Johnson&Johnson,89960
Bulgaria,06/08/2021,Moderna,263844
Bulgaria,06/08/2021,Oxford/AstraZeneca,476700
Bulgaria,06/08/2021,Pfizer/BioNTech,1256750
Bulgaria,13/08/2021,Johnson&Johnson,102550
Bulgaria,13/08/2021,Moderna,269269
Bulgaria,13/08/2021,Oxford/AstraZeneca,477025
Bulgaria,13/08/2021,Pfizer/BioNTech,1298259
Bulgaria,20/08/2021,Johnson&Johnson,116845
Bulgaria,20/08/2021,Moderna,274596
Bulgaria,20/08/2021,Oxford/AstraZeneca,477363
Bulgaria,20/08/2021,Pfizer/BioNTech,1341032
Bulgaria,27/08/2021,Johnson&Johnson,133004
Bulgaria,27/08/2021,Moderna,280188
Bulgaria,27/08/2021,Oxford/AstraZeneca,477659
Bulgaria,27/08/2021,Pfizer/BioNTech,1387124
Bulgaria,03/09/2021,Johnson&Johnson,149767
Bulgaria,03/09/2021,Moderna,285738
Bulgaria,03/09/2021,Oxford/AstraZeneca,477825
Bulgaria,03/09/2021,Pfizer/BioNTech,1428817
Bulgaria,10/09/2021,Johnson&Johnson,162888
Bulgaria,10/09/2021,Moderna,290164
Bulgaria,10/09/2021,Oxford/AstraZeneca,477891
Bulgaria,10/09/2021,Pfizer/BioNTech,1463273
Bulgaria,17/09/2021,Johnson&Johnson,170001
Bulgaria,17/09/2021,Moderna,290164
Bulgaria,17/09/2021,Oxford/AstraZeneca,477891
Bulgaria,17/09/2021,Pfizer/BioNTech,1463273
Chile,24/12/2020,Pfizer/BioNTech,420
Chile,25/12/2020,Pfizer/BioNTech,5201
Chile,26/12/2020,Pfizer/BioNTech,8344
Chile,27/12/2020,Pfizer/BioNTech,8655
Chile,28/12/2020,Pfizer/BioNTech,8655
Chile,29/12/2020,Pfizer/BioNTech,8655
Chile,30/12/2020,Pfizer/BioNTech,8655
Chile,31/12/2020,Pfizer/BioNTech,8655
Chile,01/01/2021,Pfizer/BioNTech,8655
Chile,02/01/2021,Pfizer/BioNTech,8655
Chile,03/01/2021,Pfizer/BioNTech,8655
Chile,04/01/2021,Pfizer/BioNTech,9060
Chile,05/01/2021,Pfizer/BioNTech,10503
Chile,06/01/2021,Pfizer/BioNTech,10708
Chile,07/01/2021,Pfizer/BioNTech,10708
Chile,08/01/2021,Pfizer/BioNTech,10708
Chile,09/01/2021,Pfizer/BioNTech,10708
Chile,10/01/2021,Pfizer/BioNTech,10708
Chile,11/01/2021,Pfizer/BioNTech,10708
Chile,12/01/2021,Pfizer/BioNTech,10708
Chile,13/01/2021,Pfizer/BioNTech,11741
Chile,14/01/2021,Pfizer/BioNTech,18657
Chile,15/01/2021,Pfizer/BioNTech,22088
Chile,16/01/2021,Pfizer/BioNTech,22178
Chile,17/01/2021,Pfizer/BioNTech,22178
Chile,18/01/2021,Pfizer/BioNTech,33229
Chile,19/01/2021,Pfizer/BioNTech,52593
Chile,20/01/2021,Pfizer/BioNTech,61902
Chile,21/01/2021,Pfizer/BioNTech,64959
Chile,22/01/2021,Pfizer/BioNTech,65374
Chile,23/01/2021,Pfizer/BioNTech,65374
Chile,24/01/2021,Pfizer/BioNTech,65374
Chile,25/01/2021,Pfizer/BioNTech,66794
Chile,26/01/2021,Pfizer/BioNTech,67408
Chile,27/01/2021,Pfizer/BioNTech,67443
Chile,28/01/2021,Pfizer/BioNTech,67443
Chile,29/01/2021,Pfizer/BioNTech,67448
Chile,30/01/2021,Pfizer/BioNTech,67449
Chile,31/01/2021,Pfizer/BioNTech,67449
